traditional,simplified
,
,
大卜，下大夫二人,大卜，下大夫二人
故明君操權而上重，一政而國治,故明君操权而上重，一政而国治
鬬韋龜屬成然焉，且曰：棄禮違命，楚其危哉,鬬韦龟属成然焉，且曰：弃礼违命，楚其危哉
何惡輔弼，讒諂是服,何恶辅弼，谗谄是服
君子曰：昭公知所惡矣,君子曰：昭公知所恶矣
秋，八月，己亥，晉侯夷卒,秋，八月，己亥，晋侯夷卒
尹吉曰：惟尹躬及湯，咸有壹德,尹吉曰：惟尹躬及汤，咸有壹德
斷薄刑，決小辠，出輕繫,断薄刑，决小罪，出轻系
夫禮，所以正民也,夫礼，所以正民也
,
眉壽萬年，永受胡福,眉寿万年，永受胡福
,
記災也,记灾也
,
不立，則曰來効賊也,不立，则曰来效贼也
弔者入，主人升堂，西面,吊者入，主人升堂，西面
又使欒黶，辭曰：臣不如韓起，韓起願上趙武，君其聽之,又使栾黡，辞曰：臣不如韩起，韩起愿上赵武，君其听之
凡民之生也，必以正平,凡民之生也，必以正平
逆叔姬，爲我也,逆叔姬，为我也
己巳，及齊侯、宋公、衛侯、燕人戰，齊師、宋師、衛師、燕師敗績,己巳，及齐侯、宋公、卫侯、燕人战，齐师、宋师、卫师、燕师败绩
仲尼曰：臧文仲其不仁者三，不知者三,仲尼曰：臧文仲其不仁者三，不知者三
故曰：新宫火，亦三日哭,故曰：新宫火，亦三日哭
坎坎伐檀兮，寘之河之干兮，河水清且漣猗,坎坎伐檀兮，寘之河之干兮，河水清且涟猗
子曰：三年學，不至於穀，不易得也,子曰：三年学，不至于谷，不易得也
曰：物白焉，不定其所白,曰：物白焉，不定其所白
,
,
臣聞小之能敵大也，小道大淫,臣闻小之能敌大也，小道大淫
公會尹子、晉侯、齊國佐、邾婁人伐鄭,公会尹子、晋侯、齐国佐、邾娄人伐郑
令齊、趙絕，可大紛已,令齐、赵绝，可大纷已
,
辰是不室，我未定天保，何寢能欲,辰是不室，我未定天保，何寝能欲
道之所言者一也，而用之者異,道之所言者一也，而用之者异
且夫進不臣君，退不爲家，亂世絕嗣之道也,且夫进不臣君，退不为家，乱世绝嗣之道也
其數八，其味酸，其臭羶，其祀户，祭先脾,其数八，其味酸，其臭膻，其祀户，祭先脾
反是，亂也,反是，乱也
利有攸往,利有攸往
,
論其安危，一曙失之，終身不復得,论其安危，一曙失之，终身不复得
爲人兄者，必能教其弟,为人兄者，必能教其弟
今公因逐之，二人者必入秦、楚，必爲公患,今公因逐之，二人者必入秦、楚，必为公患
文王曰：嘻,文王曰：嘻
雩者，爲旱求者也,雩者，为旱求者也
九五，萃有位，無咎,九五，萃有位，无咎
甲寅，入于鄭,甲寅，入于郑
《象》曰：山上有火，旅,《象》曰：山上有火，旅
聖人南面而聽天下，所且先者五，民不與焉,圣人南面而听天下，所且先者五，民不与焉
嘗試觀於上志，三王之佐，其名無不榮者，其實無不安者，功大故也,尝试观于上志，三王之佐，其名无不荣者，其实无不安者，功大故也
天子祀於太宗，其盛以麥,天子祀于太宗，其盛以麦
勢者，君之馬也,势者，君之马也
懷公無冑，秦人殺子金、子公,怀公无胄，秦人杀子金、子公
閏月不告月，猶朝于廟,闰月不告月，犹朝于庙
